Fast A,Fast B,Slow A,Slow B
263,12,396,399
285,10,401,381
292,8,414,375
291,8,423,373
278,9,423,368
280,8,425,346
266,5,443,363
273,5,449,363
264,5,462,355
275,2,466,370
283,2,452,391
286,2,437,394
265,2,415,416
269,1,377,451
259,1,363,454
245,3,373,470
256,3,365,490
260,2,360,498
249,3,379,488
245,3,381,482
245,1,378,474
219,2,373,484
226,3,380,496
222,3,381,497
218,3,373,511
208,3,378,520
203,2,377,508
196,1,379,506
200,0,396,528
213,0,404,531
222,0,406,538
239,1,414,526
247,1,420,517
275,1,400,504
277,2,412,506
294,2,422,520
311,1,431,549
316,1,436,567
302,1,448,579
306,0,442,586
297,1,435,578
291,1,439,579
301,1,440,573
317,2,445,555
323,3,436,549
352,3,420,541
361,4,419,532
368,4,413,536
361,3,398,544
357,2,401,557
349,2,398,553
354,1,370,544
352,1,346,544
357,1,350,551
372,2,350,519
363,1,330,523
357,2,318,536
348,2,331,533
331,2,331,560
295,1,315,590
277,1,321,621
261,1,341,645
252,2,346,661
250,3,341,653
246,4,363,649
247,4,374,654
241,5,372,650
222,4,376,669
220,3,381,682
213,2,373,691
205,3,372,676
200,3,358,667
186,7,331,648
167,9,320,623
166,9,332,618
155,12,334,624
136,12,341,606
132,13,374,590
124,14,386,612
109,16,400,615
101,14,420,606
109,18,440,634
107,19,443,624
105,22,449,598
107,24,444,600
123,29,431,605
116,28,418,607
127,30,433,616
131,28,420,621
144,30,411,597
133,29,412,586
136,31,408,554
134,28,384,546
133,32,397,554
130,30,394,573
137,26,385,588
147,28,389,599
156,36,386,597
161,37,380,588
163,45,400,582
161,54,434,544
164,59,448,529
169,61,456,525
171,61,465,509
170,62,464,506
173,65,463,508
170,63,466,513
171,64,477,518
181,66,493,515
184,69,496,514
186,71,505,519
197,80,519,529
196,84,537,543
197,91,533,555
201,91,559,553
208,92,574,561
216,90,596,548
221,84,571,542
224,83,563,527
229,78,518,533
237,76,487,512
234,75,458,506
231,68,445,508
230,66,433,517
224,64,435,511
217,63,416,528
205,60,392,527
206,62,378,525
192,65,376,519
189,67,365,518
184,67,363,512
181,66,359,516
172,63,373,513
166,61,367,521
171,60,352,518
170,54,351,510
161,51,362,505
156,61,367,514
152,59,378,506
149,65,403,523
146,69,419,538
150,67,424,559
158,54,435,557
170,49,425,576
164,34,419,589
162,26,433,606
168,21,422,607
152,18,409,603
145,14,410,598
148,11,419,553
134,12,403,527
110,9,409,515
101,7,411,505
88,3,417,493
72,3,399,503
81,2,370,500
81,2,362,481
81,2,338,470
86,2,313,456
95,1,311,461
95,1,312,447
105,1,301,431
112,1,308,435
117,1,323,424
124,1,330,422
119,0,364,414
119,0,393,416
118,0,419,418
112,0,435,427
107,0,458,410
114,0,451,422
118,0,447,427
121,0,459,423
124,0,475,439
119,0,489,446
112,0,511,455
111,0,527,443
121,0,518,444
120,0,526,421
118,0,522,406
132,0,543,402
122,0,558,412
117,0,570,415
112,0,563,426
118,0,557,438
107,0,539,443
107,0,524,453
98,0,534,456
99,0,540,472
97,0,545,494
95,0,563,510
96,0,587,529
88,0,602,534
84,0,631,547
76,0,645,544
82,0,621,545
86,0,602,534
95,0,605,544
102,0,580,549
110,0,585,573
107,0,590,584
106,0,611,610
103,0,572,642
101,0,583,641
95,0,568,634
88,0,575,642
85,0,575,630
90,0,607,583
88,0,611,574
91,0,612,582
94,0,605,596
97,0,599,621
101,0,601,669
100,0,588,681
97,0,595,707
101,0,603,725
105,0,615,718
93,0,604,721
91,0,601,735
84,0,598,751
83,0,579,720
83,0,569,743
86,0,566,740
77,0,571,740
66,0,576,695
57,0,593,708
51,0,587,675
46,0,581,675
45,0,598,641
54,0,593,635
64,0,581,606
66,0,587,610
75,0,614,587
